Group,Category,Code,Long Desc,Short Desc
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0021,"Ambulance service, outside state per mile, transport (medicaid only)",Outside state ambulance serv
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0080,"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest",Noninterest escort in non er
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0090,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest",Interest escort in non er
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0100,Non-emergency transportation; taxi,Nonemergency transport taxi
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0110,"Non-emergency transportation and bus, intra or inter state carrier",Nonemergency transport bus
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0120,"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems",Noner transport mini-bus
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0130,Non-emergency transportation: wheelchair van,Noner transport wheelch van
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0140,Non-emergency transportation and air travel (private or commercial) intra or inter state,Nonemergency transport air
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0160,Non-emergency transportation: per mile - case worker or social worker,Noner transport case worker
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0170,"Transportation ancillary: parking fees, tolls, other",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0180,Non-emergency transportation: ancillary: lodging-recipient,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0190,Non-emergency transportation: ancillary: meals-recipient,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0200,Non-emergency transportation: ancillary: lodging escort,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0210,Non-emergency transportation: ancillary: meals-escort,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0225,"Ambulance service, neonatal transport, base rate, emergency transport, one way",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0380,Bls mileage (per mile),Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0382,Bls routine disposable supplies,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0384,Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances),Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0390,Als mileage (per mile),Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0392,Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances),Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0394,Als specialized service disposable supplies; iv drug therapy,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0396,Als specialized service disposable supplies; esophageal intubation,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0398,Als routine disposable supplies,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0420,"Ambulance waiting time (als or bls), one half (1/2) hour increments",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0422,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0424,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0425,"Ground mileage, per statute mile",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0426,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0427,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0428,"Ambulance service, basic life support, non-emergency transport, (bls)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A0429,"Ambulance service, basic life support, emergency transport (bls-emergency)",Transport parking fees/tolls
